tipo;denominacion;orden;estado;codigo;tipo_nombre;updated_at;cod_contable
ESPACIO;ESPACIO 18;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 19;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 20;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 21;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 22;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 23;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 24;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 25;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 26;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 27;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 28;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 29;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 30;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 31;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 32;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 33;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 34;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 35;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 36;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 37;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 38;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 39;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 40;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 41;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 42;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 43;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 44;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 45;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 46;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 47;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 48;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 49;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 50;1;A;EST;ESPACIO;23/08/2020 14:27;
ESTACIONAMIENTO;A1;1;A;A;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;A2;2;A;A;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;A3;3;A;A;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;A4;4;A;A;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;A5;5;A;A;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;A6;6;A;A;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;A7;7;A;A;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;A8;8;A;A;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;A9;9;A;A;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;A10;10;A;A;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;A11;11;A;A;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;A12;12;A;A;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;A13;13;A;A;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;A14;14;A;A;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;A15;15;A;A;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;A16;16;A;A;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;A17;17;A;A;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;A18;18;A;A;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;T;1;O;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;B1;1;A;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;B2;2;A;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;B3;3;A;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;B4;4;A;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;B5;5;A;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;B6;6;A;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;B7;7;A;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;B8;8;A;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;B9;9;A;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;B10;10;A;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;B11;11;A;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;B12;12;A;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;B13;13;A;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;B14;14;A;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;B15;15;A;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;B16;16;A;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;B17;17;A;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;B18;18;A;B;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;T;1;O;C;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;C1;1;A;C;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;C2;2;A;C;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;C3;3;A;C;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;C4;4;A;C;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;C5;5;A;C;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;C6;6;A;C;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;C7;7;A;C;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;C8;8;A;C;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;C9;9;A;C;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;C10;10;A;C;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;C11;11;A;C;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;C12;12;A;C;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;C13;13;A;C;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;C14;14;A;C;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;C15;15;A;C;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D1;1;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D2;2;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D3;3;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D4;4;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D5;5;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D6;6;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D7;7;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D8;8;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D9;9;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D10;10;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D11;11;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D12;12;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D13;13;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D14;14;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D15;15;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D16;16;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D17;17;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D18;18;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESTACIONAMIENTO;D19;19;A;D;ESTACIONAMIENTO;23/08/2020 14:27;
ESPACIO;ESPACIO 51;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 52;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 53;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 54;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 55;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 56;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 57;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 58;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 59;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 60;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 61;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 62;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 63;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 64;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 65;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 66;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 67;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 68;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 69;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 70;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 71;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 72;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 73;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 74;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 75;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 76;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 77;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 78;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 79;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 80;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;PREFERENTE;1;A;EST;ESPACIO;23/08/2020 14:27;
